Performance_Score,Leadership_Score,Projects_Handled,Peer_Review_Score,Leadership_Index,Potential_Index,Growth_Momentum,Leadership_Influence,Performance_Consistency,Cluster,Characteristics,Employee_ID,Age
-0.701018356081091,-0.2201835219585688,1.6278917329449032,0.3490112651464682,0.1723933595927754,-0.805039220613929,0.2604054869879144,-0.1753442440371674,0.3572387561988731,4,Strategic High Performers,EMP0001,24.0
1.465699130720695,-0.1843396928025228,0.178265802716759,-1.5917873958324322,-1.4438546639879517,-1.2813227793571391,-0.1351833544773346,-0.363274251115573,1.0969782465433002,1,Leadership-Oriented,EMP0002,50.0
1.465699130720695,-1.1162792508597208,-0.7277504036758311,1.231192474682332,0.4202841607554635,0.2334150959901207,-0.2809547838806696,0.276325075025483,0.0091260548603192,2,Low Consistent Performers,EMP0003,56.0
0.743459968453433,0.0307232821337536,-0.7277504036758311,0.0314260297135572,0.0434901429881774,-1.296938633742163,0.1337297954745939,-0.2298854448296384,-0.2519584711435962,2,Low Consistent Performers,EMP0004,39.0
0.743459968453433,0.4966930611623527,1.0842820091093492,0.2784367683835991,0.5095248491740312,-0.4458745697583929,0.0239217955102618,-0.2440451796507607,1.4886050355491736,4,Strategic High Performers,EMP0005,41.0
-1.423257518348353,0.9268190110349056,1.6278917329449032,-0.6743189379151339,-0.0556661774768977,0.5691559652681214,-0.1811053126102753,-0.3195331165867437,-0.4695289094801924,0,Emerging Performers,EMP0006,44.0
0.743459968453433,0.8909751818788595,-0.9089536449543492,1.4076287165895047,1.6795694306619189,0.7799699994659356,-0.2971250390478688,-0.1996096960344756,-0.4260148218128731,2,Low Consistent Performers,EMP0007,55.0
0.0212208061861709,0.6042245486304909,-0.3653439211187951,-1.133053166873783,-0.6208572041278267,0.3271102223002601,-0.2910141986195958,-0.3404216100386445,-0.2519584711435962,1,Leadership-Oriented,EMP0008,41.0
-0.701018356081091,0.8909751818788595,1.6278917329449032,-0.5331699443893956,0.0434901429881771,1.2640614854016583,-0.2227635165006478,-0.3106207749500725,0.3572387561988731,4,Strategic High Performers,EMP0009,31.0
-1.423257518348353,1.5003202775316429,-1.6337666100684212,-1.768223637739605,-0.6605197323138566,-0.914350201309092,-0.3492889470585696,-0.3816331405828844,-1.2527824874919389,1,Leadership-Oriented,EMP0010,54.0
0.743459968453433,0.0307232821337536,-0.9089536449543492,1.5134904617338083,1.2928597808481257,0.0928724065249107,-0.2577772636087624,-0.1059877651448185,-0.4260148218128731,2,Low Consistent Performers,EMP0011,54.0
0.743459968453433,-1.259654567483905,-0.002937438561759,-0.6037444411522648,-1.205879494871771,-0.4224507881808579,-0.2383766959545137,-0.0573136766972106,0.4442669315335116,1,Leadership-Oriented,EMP0012,47.0
-1.423257518348353,1.607851764999781,-1.452563368789903,1.2664797230637663,1.9572071279641288,1.3265249029417516,-0.346815658316683,-0.2442664255073408,-1.2092683998246194,0,Emerging Performers,EMP0013,41.0
0.743459968453433,-0.1126520344904306,0.7218755265523131,0.0667132780949918,-0.0060880172443605,-0.6098410408011374,-0.047388153532789,-0.2139065774099692,1.1404923342106197,4,Strategic High Performers,EMP0014,36.0
0.743459968453433,-1.008747763391583,0.7218755265523131,-0.1097229638121809,-0.6506041002673497,0.3973815670328655,-0.230571087448009,-0.0631494369722203,1.1404923342106197,4,Strategic High Performers,EMP0015,58.0
0.743459968453433,-1.7614681756685502,-1.452563368789903,-1.6976491409767358,-2.4056709724991814,0.2021833872200742,-0.3538387402522008,-0.1531868812152261,-0.948183873820704,1,Leadership-Oriented,EMP0016,54.0
-1.423257518348353,0.675912206942583,-0.002937438561759,0.59602200381651,0.8764032348948099,-0.6723044583412306,0.0761167165459394,-0.2342682198933191,-0.8611556984860655,0,Emerging Performers,EMP0017,38.0
0.0212208061861709,0.0307232821337536,-1.452563368789903,-0.0038612186678773,0.0137432468486548,-0.4380666425658812,-0.3300447278066294,-0.2328353895840389,-1.0352120491553425,2,Low Consistent Performers,EMP0018,26.0
-1.423257518348353,1.536164106687689,1.265485250387867,1.2664797230637663,1.9175445997781,0.2177992416050977,0.0484841112917571,-0.2413086351551892,-0.5565570848148309,0,Emerging Performers,EMP0019,25.0
-1.423257518348353,0.4250054028502605,0.359469043995277,0.7724582457236828,0.8863188669413169,-0.5708014048385794,0.0929618182474379,-0.2055366944758567,-0.7741275231514271,0,Emerging Performers,EMP0020,24.0
0.743459968453433,-0.8295286176113522,1.4466884916663851,-0.0391484670493118,-0.4919539875232291,-1.4843288863624424,0.9805593575263952,-0.109359130578419,1.836717736887728,4,Strategic High Performers,EMP0021,42.0
0.0212208061861709,-1.008747763391583,-0.7277504036758311,0.9136072392494212,0.2120558877788053,0.522308402113052,-0.299581875758213,0.1302643321423847,-0.5130429971475117,2,Low Consistent Performers,EMP0022,24.0
-0.701018356081091,-1.7614681756685502,-0.002937438561759,1.0194689843937248,-0.115159969755943,1.5763785731021247,-0.2971250390478688,5.752602517094525,-0.4260148218128731,3,Reliable Core Talent,EMP0023,42.0
1.465699130720695,-0.6144656426750758,1.4466884916663851,-0.0038612186678773,-0.3432195068256162,-0.1101337004803922,-0.1201135319851086,-0.1531868812152261,2.6199713148994737,4,Strategic High Performers,EMP0024,29.0
-0.701018356081091,1.07019432765909,-0.002937438561759,1.3017669714452011,1.6894850627084266,2.052662131845335,-0.290367283771192,-0.2166289029703573,-0.4260148218128731,0,Emerging Performers,EMP0025,57.0
0.743459968453433,1.3569449609074584,-0.5465471623973132,0.3842985135279028,1.0747158758249604,-1.0392770363892785,1.625384784463756,-0.2764216519664729,-0.0779021204743192,2,Low Consistent Performers,EMP0026,50.0
-0.701018356081091,-1.4388737132641356,1.0842820091093492,0.1725750232392954,-0.6506041002673494,0.2412230231826324,-0.1963947339237566,0.3976482574700989,0.0961542301949577,1,Leadership-Oriented,EMP0027,55.0
0.0212208061861709,0.0307232821337536,0.7218755265523131,-1.3800639055438249,-1.1463857025927258,-1.5467923039025355,0.117378411654488,-0.3478832350056574,0.5312951068681501,1,Leadership-Oriented,EMP0028,43.0
0.0212208061861709,0.0665671112897997,-1.8149698513469392,-1.521212899069563,-1.245542023057801,-0.6332648223786724,-0.3690752569936631,-0.3601282887031689,-1.296296575159258,1,Leadership-Oriented,EMP0029,52.0
0.743459968453433,0.4250054028502605,-1.452563368789903,-1.6623618925953014,-1.166216966685741,0.7877779266584479,-0.3543124143477902,-0.3735430719169504,-0.948183873820704,1,Leadership-Oriented,EMP0030,49.0
0.0212208061861709,0.3891615736942144,-0.3653439211187951,-0.0038612186678773,0.2120558877788053,-1.2813227793571391,0.4449900660501815,-0.257101064176688,-0.2519584711435962,1,Leadership-Oriented,EMP0031,56.0
0.743459968453433,-0.4352464968948453,0.5406722852737951,-1.238914912018087,-1.285204551243831,0.4442291301879349,-0.2607712447173622,-0.3203504172979197,0.9664359835413424,4,Strategic High Performers,EMP0032,55.0
